run_accession	sample_accession	experiment_accession	study_accession	tax_id	scientific_name	fastq_bytes	fastq_ftp	submitted_bytes	submitted_ftp	sra_bytes	sra_ftp	bam_ftp	bam_bytes
ERR3507009	SAMEA5934519	ERX3528223	PRJEB34168	408170	human gut metagenome	12342118;13668916	ftp.sra.ebi.ac.uk/vol1/fastq/ERR350/009/ERR3507009/ERR3507009_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR350/009/ERR3507009/ERR3507009_2.fastq.gz	11579200;12914747	ftp.sra.ebi.ac.uk/vol1/run/ERR350/ERR3507009/Healthy01_23_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR350/ERR3507009/Healthy01_23_L001_R2_001.fastq.gz	30654629	ftp.sra.ebi.ac.uk/vol1/err/ERR350/009/ERR3507009		
ERR3507010	SAMEA5934520	ERX3528224	PRJEB34168	408170	human gut metagenome	9365405;10472755	ftp.sra.ebi.ac.uk/vol1/fastq/ERR350/000/ERR3507010/ERR3507010_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR350/000/ERR3507010/ERR3507010_2.fastq.gz	8731448;9885591	ftp.sra.ebi.ac.uk/vol1/run/ERR350/ERR3507010/Healthy02_18_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR350/ERR3507010/Healthy02_18_L001_R2_001.fastq.gz	22938044	ftp.sra.ebi.ac.uk/vol1/err/ERR350/000/ERR3507010		
ERR3507012	SAMEA5934522	ERX3528226	PRJEB34168	408170	human gut metagenome	9715356;10808810	ftp.sra.ebi.ac.uk/vol1/fastq/ERR350/002/ERR3507012/ERR3507012_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR350/002/ERR3507012/ERR3507012_2.fastq.gz	9089661;10199245	ftp.sra.ebi.ac.uk/vol1/run/ERR350/ERR3507012/Healthy04_1_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR350/ERR3507012/Healthy04_1_L001_R2_001.fastq.gz	23412429	ftp.sra.ebi.ac.uk/vol1/err/ERR350/002/ERR3507012		
ERR3507031	SAMEA5934541	ERX3528245	PRJEB34168	408170	human gut metagenome	11966661;14165261	ftp.sra.ebi.ac.uk/vol1/fastq/ERR350/001/ERR3507031/ERR3507031_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR350/001/ERR3507031/ERR3507031_2.fastq.gz	11136667;13348734	ftp.sra.ebi.ac.uk/vol1/run/ERR350/ERR3507031/Healthy23_14_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR350/ERR3507031/Healthy23_14_L001_R2_001.fastq.gz	30149565	ftp.sra.ebi.ac.uk/vol1/err/ERR350/001/ERR3507031		
ERR3507034	SAMEA5934544	ERX3528248	PRJEB34168	408170	human gut metagenome	10855597;13058852	ftp.sra.ebi.ac.uk/vol1/fastq/ERR350/004/ERR3507034/ERR3507034_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR350/004/ERR3507034/ERR3507034_2.fastq.gz	10042673;12285339	ftp.sra.ebi.ac.uk/vol1/run/ERR350/ERR3507034/Healthy26_4_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR350/ERR3507034/Healthy26_4_L001_R2_001.fastq.gz	27906014	ftp.sra.ebi.ac.uk/vol1/err/ERR350/004/ERR3507034		
ERR3507037	SAMEA5934547	ERX3528251	PRJEB34168	408170	human gut metagenome	9085749;10785211	ftp.sra.ebi.ac.uk/vol1/fastq/ERR350/007/ERR3507037/ERR3507037_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR350/007/ERR3507037/ERR3507037_2.fastq.gz	8425500;10147080	ftp.sra.ebi.ac.uk/vol1/run/ERR350/ERR3507037/Healthy29_17_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR350/ERR3507037/Healthy29_17_L001_R2_001.fastq.gz	22067325	ftp.sra.ebi.ac.uk/vol1/err/ERR350/007/ERR3507037		
ERR3507044	SAMEA5934554	ERX3528258	PRJEB34168	408170	human gut metagenome	2878343;3675846	ftp.sra.ebi.ac.uk/vol1/fastq/ERR350/004/ERR3507044/ERR3507044_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR350/004/ERR3507044/ERR3507044_2.fastq.gz	2616647;3429847	ftp.sra.ebi.ac.uk/vol1/run/ERR350/ERR3507044/Healthy36_9_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR350/ERR3507044/Healthy36_9_L001_R2_001.fastq.gz	7598304	ftp.sra.ebi.ac.uk/vol1/err/ERR350/004/ERR3507044		
ERR3507045	SAMEA5934555	ERX3528259	PRJEB34168	408170	human gut metagenome	2558254;3371734	ftp.sra.ebi.ac.uk/vol1/fastq/ERR350/005/ERR3507045/ERR3507045_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR350/005/ERR3507045/ERR3507045_2.fastq.gz	2336376;3178122	ftp.sra.ebi.ac.uk/vol1/run/ERR350/ERR3507045/Healthy37_1_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR350/ERR3507045/Healthy37_1_L001_R2_001.fastq.gz	7051953	ftp.sra.ebi.ac.uk/vol1/err/ERR350/005/ERR3507045		
ERR3507047	SAMEA5934557	ERX3528261	PRJEB34168	408170	human gut metagenome	3886926;5164195	ftp.sra.ebi.ac.uk/vol1/fastq/ERR350/007/ERR3507047/ERR3507047_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR350/007/ERR3507047/ERR3507047_2.fastq.gz	3560198;4864607	ftp.sra.ebi.ac.uk/vol1/run/ERR350/ERR3507047/Healthy39_10_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR350/ERR3507047/Healthy39_10_L001_R2_001.fastq.gz	11118842	ftp.sra.ebi.ac.uk/vol1/err/ERR350/007/ERR3507047		
ERR3507049	SAMEA5934559	ERX3528263	PRJEB34168	408170	human gut metagenome	7070453;7758754	ftp.sra.ebi.ac.uk/vol1/fastq/ERR350/009/ERR3507049/ERR3507049_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR350/009/ERR3507049/ERR3507049_2.fastq.gz	6606191;7301129	ftp.sra.ebi.ac.uk/vol1/run/ERR350/ERR3507049/MS02_13_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR350/ERR3507049/MS02_13_L001_R2_001.fastq.gz	17357331	ftp.sra.ebi.ac.uk/vol1/err/ERR350/009/ERR3507049		
