sample_accession	sample_description	description	study_accession
SAMEA112896355	16S rRNA	16S rRNA	PRJEB61123
SAMEA112896356	16S rRNA	16S rRNA	PRJEB61123
SAMEA112896357	16S rRNA	16S rRNA	PRJEB61123
SAMEA112896360	16S rRNA	16S rRNA	PRJEB61123
SAMEA112896361	16S rRNA	16S rRNA	PRJEB61123
SAMEA112896364	16S rRNA	16S rRNA	PRJEB61123
SAMEA112896367	16S rRNA	16S rRNA	PRJEB61123
SAMEA112896368	16S rRNA	16S rRNA	PRJEB61123
SAMEA112896373	16S rRNA	16S rRNA	PRJEB61123
SAMEA112896375	16S rRNA	16S rRNA	PRJEB61123
SAMEA112896376	16S rRNA	16S rRNA	PRJEB61123
SAMEA112896377	16S rRNA	16S rRNA	PRJEB61123
SAMEA112896382	16S rRNA	16S rRNA	PRJEB61123
SAMEA112896383	16S rRNA	16S rRNA	PRJEB61123
SAMEA112896384	16S rRNA	16S rRNA	PRJEB61123
SAMEA112896385	16S rRNA	16S rRNA	PRJEB61123
SAMEA112896386	16S rRNA	16S rRNA	PRJEB61123
SAMEA112896388	16S rRNA	16S rRNA	PRJEB61123
SAMEA112896389	16S rRNA	16S rRNA	PRJEB61123
SAMEA112896397	16S rRNA	16S rRNA	PRJEB61123
SAMEA112896400	16S rRNA	16S rRNA	PRJEB61123
SAMEA112896402	16S rRNA	16S rRNA	PRJEB61123
SAMEA112896403	16S rRNA	16S rRNA	PRJEB61123
SAMEA112896406	16S rRNA	16S rRNA	PRJEB61123
SAMEA112896407	16S rRNA	16S rRNA	PRJEB61123
SAMEA112896408	16S rRNA	16S rRNA	PRJEB61123
SAMEA112896412	16S rRNA	16S rRNA	PRJEB61123
SAMEA112896414	16S rRNA	16S rRNA	PRJEB61123
SAMEA112896417	16S rRNA	16S rRNA	PRJEB61123
SAMEA112896418	16S rRNA	16S rRNA	PRJEB61123
SAMEA112896420	16S rRNA	16S rRNA	PRJEB61123
SAMN28230178	16S rRNA	16S rRNA	PRJNA837737
SAMN28230188	16S rRNA	16S rRNA	PRJNA837737
SAMN28230189	16S rRNA	16S rRNA	PRJNA837737
SAMN28230193	16S rRNA	16S rRNA	PRJNA837737
SAMN28230194	16S rRNA	16S rRNA	PRJNA837737
SAMN28230203	16S rRNA	16S rRNA	PRJNA837737
SAMN28230211	16S rRNA	16S rRNA	PRJNA837737
SAMN28230213	16S rRNA	16S rRNA	PRJNA837737
SAMN29206509	16s rRNA	16s rRNA	PRJNA850879
SAMN29206510	16s rRNA	16s rRNA	PRJNA850879
SAMN29206514	16s rRNA	16s rRNA	PRJNA850879
SAMN29206519	16s rRNA	16s rRNA	PRJNA850879
SAMN29206526	16s rRNA	16s rRNA	PRJNA850879
SAMN29206528	16s rRNA	16s rRNA	PRJNA850879
SAMN29206530	16s rRNA	16s rRNA	PRJNA850879
SAMN29206535	16s rRNA	16s rRNA	PRJNA850879
SAMN29206536	16s rRNA	16s rRNA	PRJNA850879
SAMN29206538	16s rRNA	16s rRNA	PRJNA850879
SAMN29206542	16s rRNA	16s rRNA	PRJNA850879
SAMN29206545	16s rRNA	16s rRNA	PRJNA850879
SAMN29206546	16s rRNA	16s rRNA	PRJNA850879
SAMN29206549	16s rRNA	16s rRNA	PRJNA850879
SAMN29206553	16s rRNA	16s rRNA	PRJNA850879
SAMN29206555	16s rRNA	16s rRNA	PRJNA850879
SAMN29206557	16s rRNA	16s rRNA	PRJNA850879
SAMN29206559	16s rRNA	16s rRNA	PRJNA850879
SAMN29206564	16s rRNA	16s rRNA	PRJNA850879
SAMN29206565	16s rRNA	16s rRNA	PRJNA850879
SAMN29206566	16s rRNA	16s rRNA	PRJNA850879
SAMN29206567	16s rRNA	16s rRNA	PRJNA850879
SAMN29206575	16s rRNA	16s rRNA	PRJNA850879
SAMN29206577	16s rRNA	16s rRNA	PRJNA850879
SAMN29206579	16s rRNA	16s rRNA	PRJNA850879
SAMN29206582	16s rRNA	16s rRNA	PRJNA850879
SAMN29206585	16s rRNA	16s rRNA	PRJNA850879
SAMN29206586	16s rRNA	16s rRNA	PRJNA850879
SAMN29206590	16s rRNA	16s rRNA	PRJNA850879
SAMN29206594	16s rRNA	16s rRNA	PRJNA850879
SAMN29206595	16s rRNA	16s rRNA	PRJNA850879
SAMN29206598	16s rRNA	16s rRNA	PRJNA850879
SAMN29206600	16s rRNA	16s rRNA	PRJNA850879
SAMN29206601	16s rRNA	16s rRNA	PRJNA850879
SAMN29206603	16s rRNA	16s rRNA	PRJNA850879
SAMN29206606	16s rRNA	16s rRNA	PRJNA850879
SAMN29206607	16s rRNA	16s rRNA	PRJNA850879
SAMN29206608	16s rRNA	16s rRNA	PRJNA850879
SAMN29206614	16s rRNA	16s rRNA	PRJNA850879
SAMN29206616	16s rRNA	16s rRNA	PRJNA850879
SAMN29207724	16s rRNA	16s rRNA	PRJNA850879
SAMN29207728	16s rRNA	16s rRNA	PRJNA850879
SAMN29207729	16s rRNA	16s rRNA	PRJNA850879
SAMN29207732	16s rRNA	16s rRNA	PRJNA850879
SAMN29207733	16s rRNA	16s rRNA	PRJNA850879
SAMN29207736	16s rRNA	16s rRNA	PRJNA850879
SAMN29207739	16s rRNA	16s rRNA	PRJNA850879
SAMN29207741	16s rRNA	16s rRNA	PRJNA850879
SAMN29207745	16s rRNA	16s rRNA	PRJNA850879
SAMN29207751	16s rRNA	16s rRNA	PRJNA850879
SAMN29207754	16s rRNA	16s rRNA	PRJNA850879
SAMN29207758	16s rRNA	16s rRNA	PRJNA850879
SAMN29207763	16s rRNA	16s rRNA	PRJNA850879
SAMN29207764	16s rRNA	16s rRNA	PRJNA850879
SAMN29207767	16s rRNA	16s rRNA	PRJNA850879
SAMN29207774	16s rRNA	16s rRNA	PRJNA850879
SAMN29207775	16s rRNA	16s rRNA	PRJNA850879
SAMN29207776	16s rRNA	16s rRNA	PRJNA850879
SAMN29207777	16s rRNA	16s rRNA	PRJNA850879
SAMN29207788	16s rRNA	16s rRNA	PRJNA850879
SAMN29207796	16s rRNA	16s rRNA	PRJNA850879
SAMN29207799	16s rRNA	16s rRNA	PRJNA850879
SAMN29207801	16s rRNA	16s rRNA	PRJNA850879
SAMN29207803	16s rRNA	16s rRNA	PRJNA850879
SAMN29207805	16s rRNA	16s rRNA	PRJNA850879
SAMN29207807	16s rRNA	16s rRNA	PRJNA850879
SAMN29207812	16s rRNA	16s rRNA	PRJNA850879
SAMN29207814	16s rRNA	16s rRNA	PRJNA850879
SAMN29207821	16s rRNA	16s rRNA	PRJNA850879
SAMN29207826	16s rRNA	16s rRNA	PRJNA850879
SAMN29207828	16s rRNA	16s rRNA	PRJNA850879
SAMN29207829	16s rRNA	16s rRNA	PRJNA850879
SAMN29207830	16s rRNA	16s rRNA	PRJNA850879
SAMN29207835	16s rRNA	16s rRNA	PRJNA850879
SAMN29207836	16s rRNA	16s rRNA	PRJNA850879
SAMN29207838	16s rRNA	16s rRNA	PRJNA850879
